Asiakas Pvm	Myyjä		Toimipiste	Myynti
Uusitalo Oy 45453	Karjalainen		Kuopio	1556,729606
Masamyynti Oy 45453	Karjalainen		Tampere	2391,792411
Lahti Oy 45453	Karjalainen		Oulu	339,8732072
Kukkasaari Ky 45454	Karjalainen		Oulu	7868
Masamyynti Oy 45455	Karjalainen		Oulu	4082
Lahti Oy 45456	Karjalainen		Tampere	6941
Kukkasaari Ky 45456	Karjalainen		Kuopio	6633
Kihveli Oy 45457	Helminen		Kuopio	7255
Lahti Oy 45457	Helminen		Tampere	3887
Masamyynti Oy 45457	Isotalo		Helsinki	3981
Kihveli Oy 45458	Uusitalo		Tampere	569,5101926
Sokerisuuda Ky 45459	Uusitalo		Tampere	8567,235342
Lahti Oy 45460	Uusitalo		Helsinki	12109,0368
Kukkasaari Ky 45460	Karjalainen		Helsinki	3630
Masamyynti Oy 45460	Isotalo		Helsinki	1394
Masamyynti Oy 45460	Isotalo		Turku	7280,108157
Uusitalo Oy 45460	Helminen		Kuopio	5952,193531
Lahti Oy 45460	Karjalainen		Helsinki	6776,598094
Kihveli Oy 45460	Uusitalo		Oulu	3754,395985
Sandström AB 45460	Karjalainen		Turku	8724,715751
Diamond Oy 45461	Karjalainen		Helsinki	5652,7968
Sandström AB 45461	Isotalo		Helsinki	5244
Uusitalo Oy 45461	Karjalainen		Turku	229,8329343
Diamond Oy 45462	Isotalo		Helsinki	3666
Sandström AB 45462	Karjalainen		Turku	3847,12527
Sokerisuuda Ky 45462	Karjalainen		Kuopio	688,9199573
Kihveli Oy 45463	Karjalainen		Tampere	4803
Masamyynti Oy 45463	Salmi		Tampere	2402,052207
Uusitalo Oy 45463	Uusitalo		Turku	2827,407401
Lahti Oy 45464	Salmi		Tampere	8763
Masamyynti Oy 45464	Karjalainen		Oulu	7678
Kihveli Oy 45464	Salmi		Oulu	5788
Kihveli Oy 45464	Uusitalo		Kuopio	6577,814765
Diamond Oy 45464	Karjalainen		Oulu	8726,20162
Sandström AB 45464	Salmi		Turku	6657,82866
Kihveli Oy 45464	Karjalainen		Oulu	2357,977721
Sandström AB 45464	Karjalainen		Helsinki	6154,689398
Sandström AB 45465	Karjalainen		Tampere	1370,88
Uusitalo Oy 45465	Salmi		Kuopio	7620,57952
Lahti Oy 45466	Karjalainen		Oulu	1111,131848
Masamyynti Oy 45466	Isotalo		Oulu	6864,402687
Kihveli Oy 45467	Isotalo		Helsinki	407,9414158
Diamond Oy 45467	Isotalo		Oulu	1896,798806
				
Masamyynti Oy 45467	Isotalo		Turku	3745,764923
Kihveli Oy 45468	Karjalainen		Kuopio	1858
Kihveli Oy 45468	Helminen		Helsinki	3114
Kihveli Oy 45468	Salmi		Oulu	950,5140295
Uusitalo Oy 45468	Isotalo		Kuopio	4863,367445
Kukkasaari Ky 45468	Uusitalo		Kuopio	7472,744861
Diamond Oy 45469	Salmi		Tampere	8115
Sokerisuuda Ky 45469	Salmi		Oulu	232
Kukkasaari Ky 45469	Salmi		Helsinki	6923,967074
Uusitalo Oy 45470	Uusitalo		Kuopio	10554,0736
Kihveli Oy 45470	Isotalo		Helsinki	4995
Masamyynti Oy 45470	Salmi		Tampere	652
Kukkasaari Ky 45470	Helminen		Kuopio	2229,162509
				
Diamond Oy 45470	Karjalainen		Kuopio	1260,959657
Lahti Oy 45470	Karjalainen		Helsinki	9739,299486
Uusitalo Oy 45471	Helminen		Turku	8004,64
				
Sokerisuuda Ky 45471	Isotalo		Helsinki	1590
Sandström AB 45471	Helminen		Tampere	6896,163519
Sandström AB 45472	Uusitalo		Helsinki	9382,362268
Lahti Oy 45473	Karjalainen		Oulu	7533
Sandström AB 45473	Karjalainen		Turku	2648,208886
Kihveli Oy 45473	Karjalainen		Oulu	4180,124811
Sandström AB 45473	Helminen		Helsinki	5992,445908
Uusitalo Oy 45473	Uusitalo		Oulu	940,1987872
				
Kukkasaari Ky 45474	Uusitalo		Kuopio	6288,463646
Masamyynti Oy 45475	Isotalo		Oulu	6054
Masamyynti Oy 45475	Karjalainen		Helsinki	4549
Masamyynti Oy 45475	Isotalo		Helsinki	6822,204934
Sokerisuuda Ky 45476	Uusitalo		Kuopio	888,16
Sandström AB 45476	Uusitalo		Oulu	5989,76
Diamond Oy 45476	Helminen		Kuopio	765
Masamyynti Oy 45476	Helminen		Helsinki	8742,604362
Masamyynti Oy 45476	Isotalo		Tampere	6086,433986
Kukkasaari Ky 45477	Helminen		Tampere	5437,259331
Masamyynti Oy 45480	Salmi		Turku	7310,69309
Kihveli Oy 45480	Karjalainen		Tampere	9767,728205
Uusitalo Oy 45481	Isotalo		Turku	186,6036777
Kukkasaari Ky 45482	Salmi		Helsinki	2004
Sandström AB 45482	Isotalo		Helsinki	2251
Sokerisuuda Ky 45482	Salmi		Tampere	7249,867603
Kihveli Oy 45483	Helminen		Oulu	2408
Uusitalo Oy 45483	Salmi		Oulu	449,2593827
Lahti Oy 45483	Helminen		Turku	6996,583116
Lahti Oy 45483	Karjalainen		Turku	6051,921844
Sandström AB 45484	Karjalainen		Kuopio	4087
Masamyynti Oy 45484	Helminen		Tampere	2207,519111
Diamond Oy 45485	Salmi		Kuopio	8329,025026
Sokerisuuda Ky 45485	Isotalo		Helsinki	7928,656102
Lahti Oy 45486	Salmi		Oulu	5985
Masamyynti Oy 45486	Karjalainen		Kuopio	4896,738598
Diamond Oy 45486	Salmi		Oulu	968,0014242
Lahti Oy 45486	Karjalainen		Kuopio	8467,210621
Sokerisuuda Ky 45487	Isotalo		Turku	11751,04
Sandström AB 45487	Karjalainen		Helsinki	6426
Lahti Oy 45487	Salmi		Helsinki	9969,1721
Sokerisuuda Ky 45487	Salmi		Tampere	5976,846008
Lahti Oy 45487	Salmi		Turku	1377,279179
Sokerisuuda Ky 45489	Uusitalo		Kuopio	3457,44
Masamyynti Oy 45489	Helminen		Kuopio	2215
Uusitalo Oy 45489	Isotalo		Helsinki	5187,480729
Sandström AB 45489	Isotalo		Oulu	3465,133597
Sokerisuuda Ky 45489	Uusitalo		Turku	3548,650187
Uusitalo Oy 45489	Isotalo		Helsinki	5304,622629
Lahti Oy 45490	Salmi		Kuopio	6555
Sandström AB 45490	Karjalainen		Oulu	6764,410503
Masamyynti Oy 45490	Salmi		Helsinki	7443,020699
Sandström AB 45491	Helminen		Tampere	6184
Kukkasaari Ky 45492	Helminen		Oulu	6661
Kukkasaari Ky 45492	Salmi		Tampere	9495
Lahti Oy 45492	Uusitalo		Turku	6424,011237
Sokerisuuda Ky 45493	Salmi		Kuopio	3749,271936
Diamond Oy 45494	Isotalo		Kuopio	4597
Sandström AB 45494	Salmi		Turku	9032,714582
Kihveli Oy 45495	Salmi		Kuopio	5607
Lahti Oy 45495	Helminen		Oulu	9596
Kukkasaari Ky 45495	Helminen		Oulu	7919,58391
Diamond Oy 45495	Helminen		Tampere	9922,878544
Diamond Oy 45495	Uusitalo		Turku	868,4523681
Lahti Oy 45496	Helminen		Tampere	1467
Sandström AB 45496	Karjalainen		Turku	2312,428573
Masamyynti Oy 45497	Karjalainen		Tampere	7240
Kihveli Oy 45497	Karjalainen		Kuopio	1427,250857
Uusitalo Oy 45497	Helminen		Kuopio	4487,237855
Kihveli Oy 45498	Helminen		Tampere	3276
Kihveli Oy 45498	Salmi		Oulu	1633,279088
Masamyynti Oy 45499	Isotalo		Oulu	6588
Sandström AB 45499	Uusitalo		Oulu	5827,695002
Diamond Oy 45499	Uusitalo		Turku	4575,437477
Kihveli Oy 45500	Helminen		Oulu	8773,192543
Kihveli Oy 45501	Helminen		Kuopio	4951,926435
Uusitalo Oy 45501	Salmi		Helsinki	7967,859028
Sokerisuuda Ky 45501	Karjalainen		Oulu	8953,098538
Uusitalo Oy 45501	Salmi		Kuopio	4360,176574
Kukkasaari Ky 45501	Salmi		Tampere	7555,638294
Uusitalo Oy 45501	Uusitalo		Helsinki	5585,683405
Sandström AB 45502	Salmi		Helsinki	226,8224
Kihveli Oy 45502	Salmi		Kuopio	3010
Sandström AB 45502	Salmi		Kuopio	798
Kihveli Oy 45503	Salmi		Kuopio	1950
Lahti Oy 45503	Salmi		Kuopio	4534
Lahti Oy 45503	Helminen		Turku	6013,87823
Sokerisuuda Ky 45503	Salmi		Oulu	4683,486742
Sandström AB 45504	Salmi		Tampere	5857,7568
Diamond Oy 45504	Uusitalo		Turku	2288,638874
Kihveli Oy 45504	Uusitalo		Turku	6022,271597
Kihveli Oy 45505	Karjalainen		Helsinki	8991
Uusitalo Oy 45505	Isotalo		Helsinki	1339,078557
Diamond Oy 45505	Karjalainen		Tampere	5368,678039
Lahti Oy 45505	Karjalainen		Helsinki	9834,214393
Lahti Oy 45505	Isotalo		Turku	8388,621544
Masamyynti Oy 45506	Isotalo		Oulu	588
Sandström AB 45506	Isotalo		Helsinki	2194
Masamyynti Oy 45506	Isotalo		Helsinki	7825,544947
Kukkasaari Ky 45506	Karjalainen		Helsinki	2190,392815
Sandström AB 45506	Uusitalo		Tampere	5782,141291
Kihveli Oy 45506	Isotalo		Oulu	4342,972936
Kihveli Oy 45506	Salmi		Oulu	9404,531752
Sokerisuuda Ky 45507	Salmi		Helsinki	2555
Masamyynti Oy 45507	Isotalo		Kuopio	5345
Kukkasaari Ky 45507	Uusitalo		Tampere	814,9086772
Lahti Oy 45507	Karjalainen		Kuopio	6222,964803
Kihveli Oy 45508	Isotalo		Helsinki	5611
Sokerisuuda Ky 45508	Karjalainen		Oulu	3714,015869
Kukkasaari Ky 45509	Salmi		Turku	10452,96
Masamyynti Oy 45509	Karjalainen		Kuopio	9702,56
Diamond Oy 45509	Salmi		Tampere	6059,984
Sandström AB 45509	Isotalo		Turku	6589,826095
Sandström AB 45510	Helminen		Helsinki	6662
Diamond Oy 45510	Isotalo		Oulu	7292
Sokerisuuda Ky 45510	Isotalo		Tampere	6639
Uusitalo Oy 45510	Salmi		Helsinki	3087,602547
Sokerisuuda Ky 45510	Uusitalo		Kuopio	9178,992816
Masamyynti Oy 45510	Karjalainen		Turku	3716,30109
Sandström AB 45510	Karjalainen		Kuopio	4856,007084
Masamyynti Oy 45510	Karjalainen		Kuopio	416,2586293
Diamond Oy 45511	Isotalo		Oulu	3618
Kihveli Oy 45511	Salmi		Helsinki	1122,053275
Kihveli Oy 45511	Uusitalo		Kuopio	5941,550045
Sandström AB 45511	Isotalo		Helsinki	9725,591038
Uusitalo Oy 45512	Salmi		Turku	4266,282508
Sokerisuuda Ky 45512	Helminen		Oulu	9729,568036
Sokerisuuda Ky 45513	Karjalainen		Tampere	5385,128495
Diamond Oy 45513	Helminen		Kuopio	299,7314637
Diamond Oy 45514	Salmi		Kuopio	8059
Masamyynti Oy 45514	Salmi		Oulu	9699
Lahti Oy 45514	Salmi		Helsinki	6396
Kihveli Oy 45514	Helminen		Tampere	5988,619854
				
Uusitalo Oy 45515	Helminen		Turku	7517,44
Sokerisuuda Ky 45515	Uusitalo		Kuopio	10451,84
Diamond Oy 45515	Salmi		Kuopio	6146
Sandström AB 45516	Isotalo		Kuopio	1451
Lahti Oy 45516	Isotalo		Tampere	4134
Lahti Oy 45516	Salmi		Tampere	4644
Diamond Oy 45516	Uusitalo		Turku	4242,848163
Kukkasaari Ky 45516	Uusitalo		Kuopio	370,2170928
Kukkasaari Ky 45516	Uusitalo		Oulu	6320,199758
				
Lahti Oy 45516	Helminen		Tampere	5940,542223
Diamond Oy 45517	Helminen		Oulu	6957,351429
Sandström AB 45517	Helminen		Helsinki	3595,795189
Sokerisuuda Ky 45518	Uusitalo		Turku	1296,949748
Diamond Oy 45518	Karjalainen		Kuopio	6898,382039
Sokerisuuda Ky 45518	Isotalo		Turku	7848,22379
Kihveli Oy 45519	Salmi		Tampere	4725
Sandström AB 45519	Salmi		Helsinki	374,7056966
				
Kihveli Oy 45519	Uusitalo		Turku	501,1458732
Diamond Oy 45520	Karjalainen		Oulu	563
Sokerisuuda Ky 45520	Salmi		Helsinki	8266
Sandström AB 45520	Uusitalo		Turku	2154,402319
Masamyynti Oy 45520	Karjalainen		Oulu	7659,458639
Masamyynti Oy 45520	Karjalainen		Kuopio	3936,524785
Sandström AB 45520	Isotalo		Kuopio	929,4082957
Kihveli Oy 45521	Karjalainen		Turku	3597,157293
Uusitalo Oy 45521	Helminen		Kuopio	6847,293636
Masamyynti Oy 45521	Karjalainen		Turku	8946,624784
Sandström AB 45522	Helminen		Oulu	5428
Uusitalo Oy 45522	Karjalainen		Oulu	9625,043374
Sokerisuuda Ky 45522	Karjalainen		Turku	9041,050615
Kukkasaari Ky 45523	Karjalainen		Kuopio	7787,36
Diamond Oy 45523	Karjalainen		Tampere	216
Sokerisuuda Ky 45523	Helminen		Kuopio	1580
Kihveli Oy 45523	Karjalainen		Tampere	6609,499733
Diamond Oy 45523	Uusitalo		Tampere	3808,384115
Lahti Oy 45523	Salmi		Tampere	175,8745965
Sokerisuuda Ky 45524	Karjalainen		Turku	8173,9808
Kihveli Oy 45524	Uusitalo		Turku	6565,055971
Lahti Oy 45524	Karjalainen		Oulu	6889,080758
Lahti Oy 45525	Uusitalo		Oulu	2818,8832
Diamond Oy 45525	Helminen		Helsinki	5164
Lahti Oy 45525	Helminen		Tampere	9188,311085
Masamyynti Oy 45526	Salmi		Oulu	8194
Masamyynti Oy 45526	Isotalo		Helsinki	3559
Diamond Oy 45526	Karjalainen		Kuopio	155,8731078
Masamyynti Oy 45526	Helminen		Kuopio	6754,342075
Sokerisuuda Ky 45527	Karjalainen		Helsinki	7206,3936
Masamyynti Oy 45527	Helminen		Oulu	3813
Kukkasaari Ky 45527	Helminen		Tampere	3942
Kukkasaari Ky 45527	Karjalainen		Tampere	872
Diamond Oy 45527	Isotalo		Helsinki	5652,250515
Sokerisuuda Ky 45527	Isotalo		Oulu	505,2006255
Uusitalo Oy 45527	Uusitalo		Turku	5933,66184
Lahti Oy 45527	Isotalo		Kuopio	8766,078236
Kukkasaari Ky 45528	Isotalo		Oulu	3802
Sandström AB 45528	Uusitalo		Oulu	5042,494711
Kihveli Oy 45528	Isotalo		Kuopio	6266,241279
Diamond Oy 45528	Salmi		Helsinki	6554,648486
Kukkasaari Ky 45528	Salmi		Tampere	8661,980303
Kihveli Oy 45529	Isotalo		Tampere	1955
Kukkasaari Ky 45529	Karjalainen		Tampere	3977
Sandström AB 45529	Uusitalo		Kuopio	3599,333645
Diamond Oy 45530	Salmi		Tampere	4040
Kihveli Oy 45530	Salmi		Helsinki	888
Kukkasaari Ky 45531	Isotalo		Tampere	7115
Kukkasaari Ky 45531	Karjalainen		Helsinki	8391
Kukkasaari Ky 45531	Salmi		Tampere	6535
Diamond Oy 45532	Isotalo		Oulu	7500
Sandström AB 45532	Isotalo		Helsinki	5732,65138
Kukkasaari Ky 45533	Helminen		Tampere	130,7985884
Sokerisuuda Ky 45533	Helminen		Turku	2588,759209
Masamyynti Oy 45534	Uusitalo		Kuopio	1921,355728
Sokerisuuda Ky 45534	Salmi		Turku	8271,862007
Diamond Oy 45535	Karjalainen		Oulu	5345,337417
Uusitalo Oy 45536	Salmi		Oulu	6875,905549
Masamyynti Oy 45536	Uusitalo		Turku	8109,385924
Sokerisuuda Ky 45537	Helminen		Tampere	2350
Kukkasaari Ky 45537	Salmi		Kuopio	6390
Lahti Oy 45537	Karjalainen		Helsinki	5855,379284
Sokerisuuda Ky 45537	Uusitalo		Turku	413,2349263
Sokerisuuda Ky 45538	Salmi		Kuopio	3448
Sokerisuuda Ky 45538	Isotalo		Turku	9420,845697
Sandström AB 45538	Isotalo		Turku	730,5112075
Sandström AB 45538	Isotalo		Helsinki	1521,097893
Masamyynti Oy 45539	Helminen		Helsinki	6228
Sandström AB 45540	Salmi		Tampere	2546
Masamyynti Oy 45541	Karjalainen		Tampere	1708
Kukkasaari Ky 45541	Isotalo		Tampere	9038
Sokerisuuda Ky 45541	Helminen		Kuopio	2129
Kihveli Oy 45541	Salmi		Kuopio	9929
Sokerisuuda Ky 45543	Karjalainen		Turku	6884,64
Lahti Oy 45543	Helminen		Tampere	7430
Diamond Oy 45543	Karjalainen		Helsinki	4667
Lahti Oy 45543	Karjalainen		Turku	1403,141015
Masamyynti Oy 45543	Karjalainen		Turku	6378,869294
Uusitalo Oy 45543	Salmi		Oulu	7609,857345
Diamond Oy 45543	Karjalainen		Kuopio	6104,013077
Masamyynti Oy 45544	Salmi		Helsinki	7193
Kukkasaari Ky 45544	Isotalo		Helsinki	3648,022712
Masamyynti Oy 45544	Isotalo		Turku	497,9057364
Sandström AB 45544	Karjalainen		Oulu	1792,519316
Kihveli Oy 45544	Salmi		Oulu	9891,714715
Lahti Oy 45545	Karjalainen		Kuopio	7186,673325
Lahti Oy 45546	Isotalo		Oulu	3179
Masamyynti Oy 45546	Karjalainen		Kuopio	2270,963188
Kukkasaari Ky 45546	Karjalainen		Oulu	2848,189476
Sokerisuuda Ky 45547	Salmi		Tampere	3916,501929
Lahti Oy 45548	Helminen		Oulu	3357
Masamyynti Oy 45548	Karjalainen		Tampere	8241
Sandström AB 45548	Karjalainen		Tampere	6922,211707
Uusitalo Oy 45548	Uusitalo		Turku	6411,902832
Uusitalo Oy 45548	Uusitalo		Tampere	3834,23394
Diamond Oy 45549	Karjalainen		Helsinki	6117
Sokerisuuda Ky 45549	Helminen		Helsinki	5879,725917
Lahti Oy 45549	Salmi		Turku	6825,996565
Uusitalo Oy 45550	Salmi		Turku	8151,507007
Kihveli Oy 45551	Helminen		Oulu	2827
Sokerisuuda Ky 45551	Isotalo		Tampere	9461,315581
Lahti Oy 45551	Helminen		Turku	4442,426384
Kukkasaari Ky 45552	Salmi		Tampere	5767
Kukkasaari Ky 45552	Isotalo		Oulu	6832
Diamond Oy 45552	Salmi		Helsinki	8335,364727
Uusitalo Oy 45552	Uusitalo		Helsinki	6652,928731
Sandström AB 45553	Helminen		Helsinki	8378
Sokerisuuda Ky 45553	Helminen		Kuopio	4717
Lahti Oy 45553	Salmi		Kuopio	8034,203041
Masamyynti Oy 45553	Helminen		Helsinki	7495,94536
Sandström AB 45553	Karjalainen		Kuopio	4766,143317
Uusitalo Oy 45553	Karjalainen		Turku	5255,401606
Kihveli Oy 45554	Uusitalo		Turku	1427,426345
Masamyynti Oy 45555	Helminen		Oulu	7975,163018
Diamond Oy 45555	Salmi		Kuopio	2211,747484
Diamond Oy 45556	Salmi		Helsinki	3126
Sokerisuuda Ky 45556	Salmi		Tampere	6334
Lahti Oy 45556	Uusitalo		Turku	3981,534819
Diamond Oy 45556	Uusitalo		Kuopio	6499,643434
Diamond Oy 45558	Helminen		Kuopio	9313,92
Kukkasaari Ky 45558	Isotalo		Turku	1446,725884
Sandström AB 45559	Helminen		Kuopio	503,690341
Sokerisuuda Ky 45560	Helminen		Tampere	5322
Lahti Oy 45560	Helminen		Oulu	4344,805655
Kukkasaari Ky 45560	Isotalo		Turku	8296,947988
Sandström AB 45560	Helminen		Turku	1019,396428
Kihveli Oy 45562	Salmi		Tampere	7931,607713
Masamyynti Oy 45562	Karjalainen		Turku	6767,32186
Sandström AB 45562	Salmi		Tampere	7262,470983
Masamyynti Oy 45563	Karjalainen		Helsinki	8218
Sandström AB 45563	Salmi		Tampere	1866
Masamyynti Oy 45563	Helminen		Oulu	7015,509526
Sokerisuuda Ky 45563	Karjalainen		Helsinki	4652,304776
Diamond Oy 45563	Karjalainen		Tampere	7471,060891
Sokerisuuda Ky 45564	Isotalo		Helsinki	4504
Uusitalo Oy 45564	Salmi		Helsinki	413,0886461
Lahti Oy 45565	Salmi		Kuopio	4516,96
Masamyynti Oy 45565	Karjalainen		Tampere	2803
Diamond Oy 45565	Salmi		Helsinki	6087
Kukkasaari Ky 45565	Karjalainen		Tampere	6270,839431
Uusitalo Oy 45565	Karjalainen		Oulu	9476,633164
Diamond Oy 45567	Salmi		Tampere	9969,70924
Diamond Oy 45567	Isotalo		Helsinki	4741,721438
Kihveli Oy 45567	Isotalo		Tampere	864,817985
Lahti Oy 45568	Isotalo		Tampere	735
Lahti Oy 45568	Isotalo		Oulu	3059,925922
Diamond Oy 45569	Helminen		Oulu	10504,48
Diamond Oy 45569	Salmi		Kuopio	3151
Diamond Oy 45569	Salmi		Helsinki	9869,404765
Diamond Oy 45570	Helminen		Tampere	3714
Sokerisuuda Ky 45570	Salmi		Kuopio	5676,586547
Diamond Oy 45571	Isotalo		Kuopio	7452,3456
Kihveli Oy 45571	Isotalo		Tampere	7885
Sokerisuuda Ky 45572	Salmi		Kuopio	8512,080466
Uusitalo Oy 45573	Uusitalo		Oulu	4377,923919
Uusitalo Oy 45573	Karjalainen		Turku	8802,996633
Sokerisuuda Ky 45573	Karjalainen		Kuopio	1144,484525
Lahti Oy 45574	Salmi		Kuopio	851
Masamyynti Oy 45574	Helminen		Helsinki	2160,347084
Sokerisuuda Ky 45575	Isotalo		Tampere	7498
Kihveli Oy 45575	Isotalo		Helsinki	2582
Lahti Oy 45575	Salmi		Helsinki	8202,97111
Kukkasaari Ky 45575	Salmi		Tampere	7022,825588
Masamyynti Oy 45575	Isotalo		Tampere	9149,319486
Diamond Oy 45575	Isotalo		Kuopio	6445,185529
				
Masamyynti Oy 45576	Helminen		Tampere	1826
Sokerisuuda Ky 45576	Salmi		Turku	9170,975612
Diamond Oy 45576	Helminen		Helsinki	2038,879723
Kihveli Oy 45576	Salmi		Kuopio	4325,87875
Kihveli Oy 45576	Helminen		Turku	5658,583342
Kukkasaari Ky 45577	Uusitalo		Kuopio	10451,84
Kihveli Oy 45578	Isotalo		Kuopio	5274
Kukkasaari Ky 45578	Helminen		Tampere	9107
Lahti Oy 45578	Uusitalo		Turku	4708,35717
Kukkasaari Ky 45578	Isotalo		Helsinki	2717,122298
Uusitalo Oy 45578	Helminen		Turku	7917,28419
				
Kukkasaari Ky 45579	Salmi		Kuopio	4671
Diamond Oy 45579	Helminen		Turku	2786,663825
Kukkasaari Ky 45579	Karjalainen		Tampere	2759,544003
Lahti Oy 45581	Helminen		Tampere	3251,216247
Diamond Oy 45582	Karjalainen		Turku	3081,739416
Sokerisuuda Ky 45582	Salmi		Oulu	4860,342689
Sandström AB 45583	Karjalainen		Helsinki	9313
Kihveli Oy 45583	Uusitalo		Helsinki	8868,646798
Masamyynti Oy 45584	Isotalo		Tampere	7312
Uusitalo Oy 45584	Uusitalo		Oulu	6578,3248
Masamyynti Oy 45585	Uusitalo		Tampere	2762,610561
				
Masamyynti Oy 45586	Helminen		Helsinki	8932,832179
Masamyynti Oy 45586	Helminen		Kuopio	9482,692727
Kihveli Oy 45587	Karjalainen		Oulu	2182
Kihveli Oy 45587	Salmi		Kuopio	4158
Kukkasaari Ky 45587	Isotalo		Helsinki	7415
Sandström AB 45587	Uusitalo		Tampere	6113,576886
Sokerisuuda Ky 45588	Helminen		Oulu	6626
Kihveli Oy 45588	Karjalainen		Tampere	185
Kukkasaari Ky 45588	Helminen		Turku	1524,923513
Kihveli Oy 45588	Uusitalo		Turku	6003,262998
Masamyynti Oy 45588	Salmi		Helsinki	6110,621905
Diamond Oy 45589	Helminen		Helsinki	9191
Uusitalo Oy 45589	Isotalo		Turku	8511,329079
Diamond Oy 45589	Helminen		Turku	9873,90447
Lahti Oy 45589	Karjalainen		Oulu	7641,886823
Kihveli Oy 45590	Uusitalo		Kuopio	391,3540696
Masamyynti Oy 45591	Isotalo		Turku	8454,622111
Lahti Oy 45592	Isotalo		Helsinki	9417
Sandström AB 45592	Salmi		Helsinki	7959
Kukkasaari Ky 45592	Isotalo		Tampere	1462
Sandström AB 45592	Salmi		Oulu	2198
Sokerisuuda Ky 45592	Helminen		Kuopio	5938,731236
Diamond Oy 45592	Salmi		Helsinki	6046,344381
Uusitalo Oy 45592	Uusitalo		Helsinki	5259,160487
Uusitalo Oy 45593	Uusitalo		Oulu	4003,618551
Uusitalo Oy 45593	Uusitalo		Helsinki	9932,84184
Sokerisuuda Ky 45594	Helminen		Tampere	6931,035512
Masamyynti Oy 45594	Salmi		Oulu	9055,502171
Kukkasaari Ky 45595	Salmi		Kuopio	5359
Lahti Oy 45595	Isotalo		Tampere	2997,767116
Masamyynti Oy 45595	Karjalainen		Turku	8019,848193
Sandström AB 45596	Isotalo		Oulu	4160
Lahti Oy 45597	Salmi		Helsinki	915,4250718
Masamyynti Oy 45598	Helminen		Kuopio	6432,598166
Lahti Oy 45599	Karjalainen		Helsinki	457
Sokerisuuda Ky 45600	Helminen		Helsinki	654,1349888
Sokerisuuda Ky 45600	Uusitalo		Kuopio	7039,42999
Sandström AB 45601	Karjalainen		Tampere	3376,515914
Diamond Oy 45602	Karjalainen		Oulu	6540
Sokerisuuda Ky 45602	Salmi		Oulu	4395,104329
Kukkasaari Ky 45602	Karjalainen		Helsinki	6258,930532
Lahti Oy 45603	Isotalo		Kuopio	2669
Sandström AB 45603	Karjalainen		Tampere	3367
Diamond Oy 45603	Helminen		Tampere	4013,881295
Kihveli Oy 45604	Salmi		Oulu	4920
Sandström AB 45604	Salmi		Oulu	4508,264477
Uusitalo Oy 45606	Isotalo		Oulu	6040,875595
Sandström AB 45606	Salmi		Kuopio	4801,992516
				
Sokerisuuda Ky 45607	Salmi		Turku	9565,288965
Masamyynti Oy 45607	Karjalainen		Turku	5458,164222
Diamond Oy 45608	Isotalo		Tampere	2171
Kukkasaari Ky 45608	Karjalainen		Turku	5758,738398
Masamyynti Oy 45608	Uusitalo		Tampere	1296,822772
Lahti Oy 45609	Salmi		Tampere	9862
Sandström AB 45609	Karjalainen		Tampere	9811
Lahti Oy 45609	Helminen		Oulu	5822,086458
Sokerisuuda Ky 45609	Helminen		Turku	7274,028394
Kukkasaari Ky 45609	Isotalo		Turku	9164,966827
Sokerisuuda Ky 45609	Salmi		Turku	7498,29135
Uusitalo Oy 45609	Salmi		Kuopio	5715,15569
Lahti Oy 45610	Karjalainen		Helsinki	9290
Kihveli Oy 45610	Salmi		Oulu	723,5316946
Masamyynti Oy 45610	Karjalainen		Turku	5502,850711
Lahti Oy 45610	Salmi		Kuopio	3433,511581
Diamond Oy 45611	Karjalainen		Helsinki	8080,8
Kukkasaari Ky 45611	Karjalainen		Helsinki	1664
Kukkasaari Ky 45611	Isotalo		Kuopio	8161,378613
Sandström AB 45611	Salmi		Tampere	4604,592096
Diamond Oy 45611	Salmi		Oulu	5966,630145
Diamond Oy 45612	Uusitalo		Kuopio	6030,958967
Kukkasaari Ky 45612	Isotalo		Tampere	1228,110671
Diamond Oy 45613	Helminen		Oulu	5292
Kihveli Oy 45613	Karjalainen		Tampere	5488
Kihveli Oy 45613	Helminen		Oulu	9480,680044
Lahti Oy 45614	Salmi		Oulu	543
Sandström AB 45614	Karjalainen		Helsinki	1909
Lahti Oy 45614	Helminen		Oulu	3528
Kihveli Oy 45614	Salmi		Turku	6776,859963
Diamond Oy 45614	Helminen		Helsinki	6428,073097
Uusitalo Oy 45614	Isotalo		Kuopio	6992,931307
Diamond Oy 45615	Isotalo		Tampere	878
Sokerisuuda Ky 45615	Isotalo		Oulu	3602,876046
Masamyynti Oy 45615	Karjalainen		Tampere	9380,442164
Kukkasaari Ky 45616	Salmi		Tampere	5767,290672
Kukkasaari Ky 45616	Isotalo		Tampere	3708,571316
Sokerisuuda Ky 45617	Salmi		Helsinki	3396,724581
Kukkasaari Ky 45617	Isotalo		Kuopio	5360,783874
Kihveli Oy 45617	Karjalainen		Tampere	9048,971696
Masamyynti Oy 45617	Salmi		Helsinki	4717,645313
Kukkasaari Ky 45617	Uusitalo		Helsinki	8401,62243
Diamond Oy 45618	Karjalainen		Oulu	2701,3728
Kihveli Oy 45618	Uusitalo		Kuopio	3463,533417
Kihveli Oy 45618	Uusitalo		Oulu	920,3374886
Sokerisuuda Ky 45618	Isotalo		Turku	8909,509242
Masamyynti Oy 45618	Isotalo		Kuopio	2559,459307
